University,,,,Library Strategic Plan
University of Alabama,Public,Tuscaloosa,AL,https://www.lib.ua.edu/wp-content/uploads/2017/04/Strategic-Plan-11162016-FINAL.pdf
University of Alabama at Birmingham,Public,Birmingham,AL,https://www.uab.edu/plan/images/forging_the_future.pdf
University at Albany,Public,Albany,NY,https://library.albany.edu/sites/default/files/pdfs/UAlbany_Libraries-Strategic_Plan_2018-2023.pdf
University of Arizona,Public,Tucson,AZ,https://new.library.arizona.edu/sites/default/files/strategic-map-handout-2020.pdf
Arizona State University,Public,Tempe,AZ,
University of Arkansas,Public,Fayetteville,AR,https://libraries.uark.edu/specialcollections/about/publications/special-collections-strategic-plan-2017.pdf
Auburn University,Public,Auburn,AL,https://www.lib.auburn.edu/strategicplan/AUL_Strategic_Plan_2019-24.pdf
Binghamton University,Public,Vestal,NY,
Boston College,Private (non-profit),Chestnut Hill,MA,
Boston University,Private (non-profit),Boston,MA,https://www.bu.edu/library/files/pdf/sp-2010-2015.pdf
Brandeis University,Private (non-profit),Waltham,MA,https://www.brandeis.edu/library/about/news-events/pdf/strategic-plan-accessible-sf.pdf
Brown University,Private (non-profit),Providence,RI,https://library.brown.edu/about/publications/BUL_strategic_plan.pdf
University at Buffalo,Public,Buffalo,NY,https://library.buffalo.edu/aboutus/about-the-libraries/strategic-design.html
"University of California, Berkeley",Public,Berkeley,CA,https://stories.lib.berkeley.edu/wp-content/uploads/2018/04/UCBLibraryStrategicPlan.pdf
"University of California, Davis",Public,Davis,CA,https://www.library.ucdavis.edu/wp-content/uploads/2017/03/UC-Davis-Library-Strategic-Framework-2017-08-14.pdf
"University of California, Irvine",Public,Irvine,CA,https://www.lib.uci.edu/sites/all/files/docs/UCI-Libraries-Strategic-Plan-5-31-2016.pdf
"University of California, Los Angeles",Public,Los Angeles,CA,https://www.library.ucla.edu/about/administration-organization/strategic-plan-2015/goals
"University of California, Riverside",Public,Riverside,CA,https://library.ucr.edu/sites/default/files/UCR%20Library%20Strategic%20Plan%202015-04-21.pdf
"University of California, San Diego",Public,San Diego,CA,https://senate.ucsd.edu/media/172239/libraries-strategic-plan-2015-05-26.pdf
"University of California, Santa Barbara",Public,Santa Barbara,CA,https://www.library.ucsb.edu/about-library/library-strategic-roadmap
"University of California, Santa Cruz",Public,Santa Cruz,CA,https://guides.library.ucsc.edu/strategicplan
California Institute of Technology,Private (non-profit),Pasadena,CA,https://www.library.caltech.edu/sites/default/files/Strategic%20Plan%20Booklet.pdf
Carnegie Mellon University,Private (non-profit),Pittsburgh,PA,
Case Western Reserve University,Private (non-profit),Cleveland,OH,https://case.edu/library/about-us/strategic-planning-assessment/strategic-plan
University of Central Florida,Public,Orlando,FL,https://stars.library.ucf.edu/cgi/viewcontent.cgi?article=1073&context=lib-docs
University of Chicago,Private (non-profit),Chicago,IL,https://www.lib.uchicago.edu/about/thelibrary/mission/
University of Cincinnati,Public,Cincinnati,OH,https://issuu.com/uclibraries/docs/uclibsplan14
